,X,Y,Z
Average FWHM,0.231,0.232,0.641
Standard deviation FWHM,0.006,0.005,0.017
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.209,1.213,0.891
Standard deviation mes/theory FWHM ratio,0.034,0.025,0.024
Average lateral asymmetry ratio,0.975,0.975,0.975
Standard deviation lateral asymmetry ratio,0.02,0.02,0.02
