,X,Y,Z
Average FWHM,0.23,0.231,0.573
Standard deviation FWHM,0.006,0.007,0.012
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.204,1.21,0.795
Standard deviation mes/theory FWHM ratio,0.034,0.038,0.016
Average lateral asymmetry ratio,0.975,0.975,0.975
Standard deviation lateral asymmetry ratio,0.025,0.025,0.025
