,X,Y,Z
Average FWHM,0.265,0.267,0.661
Standard deviation FWHM,0.011,0.011,0.023
Theoretical FWHM,0.213,0.213,0.802
Average mes/theory FWHM ratio,1.244,1.251,0.822
Standard deviation mes/theory FWHM ratio,0.056,0.051,0.029
Average lateral asymmetry ratio,0.953,0.953,0.953
Standard deviation lateral asymmetry ratio,0.03,0.03,0.03
