,X,Y,Z
Average FWHM,0.266,0.267,0.648
Standard deviation FWHM,0.01,0.014,0.015
Theoretical FWHM,0.213,0.213,0.802
Average mes/theory FWHM ratio,1.248,1.251,0.806
Standard deviation mes/theory FWHM ratio,0.049,0.064,0.018
Average lateral asymmetry ratio,0.964,0.964,0.964
Standard deviation lateral asymmetry ratio,0.032,0.032,0.032
