Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
Image6,bead0,0.271,0.278,0.677,0.213,0.213,0.802,1.27,1.31,0.84,0.9929985814354456,0.9851888033737122,0.9832261505129775,0.97,1040,880,valid,valid,valid
Image6,bead1,0.291,0.285,0.69,0.213,0.213,0.802,1.36,1.34,0.86,0.9975421421860619,0.9976990047365991,0.9849606859602217,0.98,605,879,valid,valid,valid
Image6,bead2,0.299,0.277,0.676,0.213,0.213,0.802,1.4,1.3,0.84,0.9987773763452065,0.997476063676155,0.9831820087645281,0.93,1105,880,outlier (above upper fence of 0.292µm),valid,valid
Image6,bead3,0.28,0.274,0.655,0.213,0.213,0.802,1.31,1.29,0.82,0.996427661217731,0.9958393391784158,0.9839648566185474,0.98,833,445,valid,valid,valid
Image6,bead4,0.269,0.27,0.658,0.213,0.213,0.802,1.26,1.26,0.82,0.9966026898184376,0.9969295295480068,0.9807876259899323,1.0,892,1020,valid,valid,valid
Image6,bead5,0.273,0.27,0.684,0.213,0.213,0.802,1.28,1.27,0.85,0.995080767178725,0.9977866783486122,0.9804540709420334,0.99,763,520,valid,valid,valid
Image6,bead6,0.262,0.265,0.665,0.213,0.213,0.802,1.23,1.24,0.83,0.9973956203346113,0.9930078215719339,0.9814934258571525,0.99,1030,393,valid,valid,valid
Image6,bead7,0.262,0.267,0.649,0.213,0.213,0.802,1.23,1.25,0.81,0.996481389841299,0.9970402198467058,0.9788340552258821,0.98,598,358,valid,valid,valid
Image6,bead8,0.259,0.275,0.67,0.213,0.213,0.802,1.22,1.29,0.84,0.9941660485451991,0.9926097597070022,0.9825161920481177,0.94,604,559,valid,valid,valid
Image6,bead9,0.272,0.262,0.661,0.213,0.213,0.802,1.28,1.23,0.82,0.9934837291467348,0.9953613634082314,0.9817553021193861,0.96,243,545,valid,valid,valid
Image6,bead10,0.262,0.275,0.638,0.213,0.213,0.802,1.23,1.29,0.8,0.9937006905904483,0.9944014327836656,0.9790554302593779,0.95,368,488,valid,valid,valid
Image6,bead11,0.276,0.266,0.653,0.213,0.213,0.802,1.3,1.25,0.81,0.9962807062746459,0.9955372741590093,0.9812309654955742,0.96,356,818,valid,valid,valid
Image6,bead12,0.28,0.28,0.649,0.213,0.213,0.802,1.31,1.31,0.81,0.9949602180236004,0.9977143319560919,0.9839919422912896,1.0,918,44,valid,valid,valid
Image6,bead13,0.278,0.264,0.658,0.213,0.213,0.802,1.3,1.24,0.82,0.9933996790286317,0.9966481511980584,0.9785752007640548,0.95,395,982,valid,valid,valid
Image6,bead14,0.278,0.283,0.692,0.213,0.213,0.802,1.3,1.33,0.86,0.9968220978361862,0.9962268644686242,0.9867823784656863,0.98,121,1197,valid,valid,valid
Image6,bead15,0.272,0.266,0.638,0.213,0.213,0.802,1.28,1.25,0.8,0.9941692848749285,0.9958900019252149,0.9791011774496436,0.98,653,624,valid,valid,valid
Image6,bead16,0.267,0.27,0.638,0.213,0.213,0.802,1.25,1.27,0.8,0.9971408923009766,0.9900626163088014,0.977296483978403,0.99,1052,959,valid,valid,valid
Image6,bead17,0.266,0.255,0.668,0.213,0.213,0.802,1.25,1.2,0.83,0.9934974328212299,0.9984007077728088,0.9835741973832396,0.96,404,55,valid,valid,valid
Image6,bead18,0.266,0.262,0.724,0.213,0.213,0.802,1.25,1.23,0.9,0.9958994040466453,0.9965190041452383,0.9759090690505688,0.98,511,505,valid,valid,valid
Image6,bead19,0.253,0.252,0.612,0.213,0.213,0.802,1.19,1.18,0.76,0.9948502974035307,0.9933487201121408,0.9743187455977635,0.99,830,1052,valid,valid,valid
Image6,bead20,0.27,0.269,0.666,0.213,0.213,0.802,1.27,1.26,0.83,0.9955085428897428,0.9954242479545568,0.9861265711521425,0.99,708,1223,valid,valid,valid
Image6,bead21,0.264,0.273,0.658,0.213,0.213,0.802,1.24,1.28,0.82,0.9931407255347983,0.9950055450570122,0.9814130770454327,0.97,248,633,valid,valid,valid
Image6,bead22,0.252,0.261,0.669,0.213,0.213,0.802,1.18,1.23,0.83,0.9969813864164461,0.9966722840351107,0.9830562964496061,0.97,603,268,valid,valid,valid
Image6,bead23,0.251,0.27,0.663,0.213,0.213,0.802,1.18,1.26,0.83,0.9944947666036812,0.9914803938768889,0.9821215410604354,0.93,603,1213,valid,valid,valid
Image6,bead24,0.266,0.272,0.689,0.213,0.213,0.802,1.25,1.28,0.86,0.9876357221033428,0.9936138688703255,0.9695000783401307,0.98,814,851,valid,valid,valid
Image6,bead25,0.249,0.258,0.664,0.213,0.213,0.802,1.17,1.21,0.83,0.9965045067792972,0.9910993359017309,0.9766393921890808,0.96,479,444,valid,valid,valid
Image6,bead26,0.267,0.255,0.627,0.213,0.213,0.802,1.25,1.2,0.78,0.9851055945086465,0.9942843642901825,0.980243373631583,0.96,289,320,valid,valid,valid
Image6,bead27,0.265,0.252,0.675,0.213,0.213,0.802,1.24,1.18,0.84,0.9923163188634049,0.9893379917863347,0.9796025396514312,0.95,1164,175,valid,valid,valid
Image6,bead28,0.254,0.263,0.624,0.213,0.213,0.802,1.19,1.23,0.78,0.997928897638063,0.9890210029795687,0.9798028927375755,0.96,241,486,valid,valid,valid
Image6,bead29,0.261,0.247,0.652,0.213,0.213,0.802,1.22,1.16,0.81,0.9947652699109956,0.9967920048083906,0.9853602566545042,0.95,58,419,valid,valid,valid
