,X,Y,Z
Average FWHM,0.253,0.233,0.575
Standard deviation FWHM,,,
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.32,1.22,0.8
Standard deviation mes/theory FWHM ratio,,,
Average lateral asymmetry ratio,0.92,0.92,0.92
Standard deviation lateral asymmetry ratio,0.0,0.0,0.0
