,X,Y,Z
Average FWHM,0.244,0.243,0.575
Standard deviation FWHM,0.004,0.004,0.017
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.272,1.272,0.799
Standard deviation mes/theory FWHM ratio,0.023,0.018,0.023
Average lateral asymmetry ratio,0.987,0.987,0.987
Standard deviation lateral asymmetry ratio,0.009,0.009,0.009
