,X,Y,Z
Average FWHM,0.231,0.229,0.526
Standard deviation FWHM,0.006,0.006,0.015
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.207,1.196,0.732
Standard deviation mes/theory FWHM ratio,0.034,0.033,0.02
Average lateral asymmetry ratio,0.973,0.973,0.973
Standard deviation lateral asymmetry ratio,0.024,0.024,0.024
