Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
GreenBeads63x.lif-Series005,bead41,,,,,,,,,,0.9952844879596593,0.985529177829566,0.9859000153222001,,1350,577,valid,valid,valid
GreenBeads63x.lif-Series005,bead42,,,,,,,,,,0.9979465933994067,0.9960516471932404,0.9831030314348717,,762,1710,valid,valid,valid
GreenBeads63x.lif-Series005,bead43,,,,,,,,,,0.9951900480591342,0.9932675124660032,0.9842378441301174,,1384,692,valid,valid,valid
GreenBeads63x.lif-Series005,bead44,,,,,,,,,,0.9970106199848222,0.9918585956992043,0.9798840178363453,,585,624,valid,valid,valid
GreenBeads63x.lif-Series005,bead45,,,,,,,,,,0.9978618355904972,0.9969527638111831,0.9861337738367694,,1257,1788,valid,valid,valid
GreenBeads63x.lif-Series005,bead46,,,,,,,,,,0.9971190483866881,0.9924349805826391,0.9798489191644515,,490,594,valid,valid,valid
GreenBeads63x.lif-Series005,bead47,,,,,,,,,,0.9984766107059517,0.9961412703421922,0.9901388875135492,,1709,1065,valid,valid,valid
GreenBeads63x.lif-Series005,bead48,,,,,,,,,,0.9963626409190561,0.9921286617830577,0.9785089845645162,,828,33,valid,outlier (above upper fence of 0.308µm),valid
GreenBeads63x.lif-Series005,bead49,,,,,,,,,,0.9967268165626976,0.9947958906294272,0.9859042740956724,,1494,1473,valid,valid,valid
GreenBeads63x.lif-Series005,bead50,,,,,,,,,,0.9983272374922963,0.9951803916366616,0.9881625507549711,,140,481,valid,valid,valid
GreenBeads63x.lif-Series005,bead51,,,,,,,,,,0.9970994763626813,0.9954089951647987,0.9866656717471554,,892,1285,valid,valid,valid
GreenBeads63x.lif-Series005,bead52,,,,,,,,,,0.9980227355146849,0.9910761143876265,0.9822453700413674,,196,1298,valid,valid,valid
GreenBeads63x.lif-Series005,bead53,,,,,,,,,,0.9977963083107627,0.9943980082463714,0.9817375428851587,,2024,1469,valid,valid,valid
GreenBeads63x.lif-Series005,bead54,,,,,,,,,,0.998092531864102,0.9900932682405352,0.9856208061134917,,961,460,valid,valid,valid
GreenBeads63x.lif-Series005,bead55,,,,,,,,,,0.9980636312751819,0.9955497295085212,0.9880270639559219,,1220,1621,valid,valid,valid
GreenBeads63x.lif-Series005,bead56,,,,,,,,,,0.9966251254293375,0.9913806576914916,0.9877822840455107,,1333,433,valid,valid,valid
GreenBeads63x.lif-Series005,bead57,,,,,,,,,,0.9978196960957362,0.9950233776207705,0.9805397882017596,,455,1242,valid,valid,valid
GreenBeads63x.lif-Series005,bead58,,,,,,,,,,0.9960414264618773,0.9921127377215379,0.9794107219683115,,791,257,valid,valid,valid
GreenBeads63x.lif-Series005,bead59,,,,,,,,,,0.9959215844624909,0.9930004373439381,0.9796568970725196,,1517,977,valid,valid,valid
GreenBeads63x.lif-Series005,bead60,,,,,,,,,,0.9970913785734232,0.9927899638325989,0.9787812827575992,,1953,1183,valid,valid,valid
GreenBeads63x.lif-Series005,bead61,,,,,,,,,,0.9980287285066234,0.9940775453064538,0.985447460499476,,155,1119,valid,valid,valid
GreenBeads63x.lif-Series005,bead62,,,,,,,,,,0.9978990050680121,0.9932617448266273,0.987255044738449,,1836,1247,valid,valid,valid
GreenBeads63x.lif-Series005,bead63,,,,,,,,,,0.9973337464239357,0.9937143671912613,0.9879494813970028,,1948,1279,valid,valid,valid
GreenBeads63x.lif-Series005,bead64,,,,,,,,,,0.9967886673328245,0.9957250012355868,0.9847337853161426,,1627,1587,valid,valid,valid
GreenBeads63x.lif-Series005,bead65,,,,,,,,,,0.9984665686292389,0.9921333396274834,0.9871109460753582,,1844,1204,valid,valid,valid
GreenBeads63x.lif-Series005,bead66,,,,,,,,,,0.9951759108440059,0.991368389530299,0.9878382616548601,,859,352,valid,valid,valid
GreenBeads63x.lif-Series005,bead67,,,,,,,,,,0.9955743823343346,0.9904441489727296,0.9824912555649491,,846,1481,valid,valid,valid
GreenBeads63x.lif-Series005,bead68,,,,,,,,,,0.9966802291771572,0.9851547910467178,0.9802194117342758,,1211,595,valid,valid,valid
GreenBeads63x.lif-Series005,bead69,,,,,,,,,,0.9948257600958409,0.9910229837855701,0.9837437730306974,,815,1342,valid,valid,valid
GreenBeads63x.lif-Series005,bead70,,,,,,,,,,0.9989755588548567,0.9948545370143143,0.9867577300876034,,1794,1685,valid,valid,valid
GreenBeads63x.lif-Series005,bead71,,,,,,,,,,0.9981648327734205,0.99612560247522,0.9777134144313002,,303,204,valid,valid,valid
GreenBeads63x.lif-Series005,bead72,,,,,,,,,,0.9952166978585484,0.9902141380600261,0.9797650941047378,,1217,876,valid,valid,valid
GreenBeads63x.lif-Series005,bead73,,,,,,,,,,0.9964419245009642,0.9920550214177795,0.9774043728632854,,1007,607,valid,valid,valid
GreenBeads63x.lif-Series005,bead74,,,,,,,,,,0.9971231106484584,0.9915350898536806,0.9874353213689547,,1418,1033,valid,valid,valid
GreenBeads63x.lif-Series005,bead75,,,,,,,,,,0.9964160992590476,0.9948982726475984,0.9822132620803128,,689,1234,valid,valid,valid
GreenBeads63x.lif-Series005,bead76,,,,,,,,,,0.9972211023898861,0.991980193065091,0.9839398985721259,,139,1971,valid,valid,valid
GreenBeads63x.lif-Series005,bead77,,,,,,,,,,0.9981887251316163,0.9921766033065762,0.9872804984659656,,757,414,valid,valid,valid
GreenBeads63x.lif-Series005,bead78,,,,,,,,,,0.9962004937336882,0.9925364254518345,0.9764301382238839,,566,1106,valid,valid,valid
GreenBeads63x.lif-Series005,bead79,,,,,,,,,,0.990709450045361,0.9719072370994826,0.9815894286761421,,75,1467,valid,outlier (above upper fence of 0.308µm),valid
GreenBeads63x.lif-Series005,bead80,,,,,,,,,,0.9981662397506869,0.995712219799178,0.9866012050862403,,806,1947,valid,valid,valid
GreenBeads63x.lif-Series005,bead81,,,,,,,,,,0.9987132245063458,0.9942336978051411,0.9838044590841084,,64,889,valid,valid,valid
GreenBeads63x.lif-Series005,bead82,,,,,,,,,,0.9968880887391768,0.9948791899847925,0.9847364993347821,,1559,1336,valid,valid,valid
GreenBeads63x.lif-Series005,bead83,,,,,,,,,,0.99841736024788,0.9973219970327943,0.9838677116774512,,394,1282,valid,valid,valid
GreenBeads63x.lif-Series005,bead84,,,,,,,,,,0.9964039181084348,0.9883958301856561,0.9813307447744563,,790,839,valid,valid,valid
GreenBeads63x.lif-Series005,bead85,,,,,,,,,,0.9976634866273117,0.9920851251285681,0.9811614744959739,,1187,974,valid,valid,valid
GreenBeads63x.lif-Series005,bead86,,,,,,,,,,0.997523311347746,0.9915828098805864,0.9876324910465812,,480,380,valid,valid,valid
GreenBeads63x.lif-Series005,bead87,,,,,,,,,,0.9969155638407244,0.9957348612250785,0.9797263542628492,,1166,1244,valid,valid,valid
GreenBeads63x.lif-Series005,bead88,,,,,,,,,,0.9961640128889747,0.9940636557939749,0.9825787711061291,,1066,149,valid,valid,valid
GreenBeads63x.lif-Series005,bead89,,,,,,,,,,0.9953902538487243,0.9948694869185744,0.9817941091149103,,410,1641,valid,valid,valid
