Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
Image4,bead0,0.278,0.281,0.707,0.222,0.222,0.836,1.25,1.26,0.85,0.9980687188170788,0.9984882938115381,0.9822942315013365,0.99,1176,202,valid,valid,valid
Image4,bead1,0.273,0.272,0.681,0.222,0.222,0.836,1.23,1.22,0.81,0.9979782570554157,0.9974440850780611,0.9808282554876302,0.99,944,388,valid,valid,valid
Image4,bead2,0.267,0.274,0.743,0.222,0.222,0.836,1.2,1.23,0.89,0.9981811449020987,0.9975769748040666,0.9866978487225451,0.97,510,1141,valid,valid,valid
Image4,bead3,0.28,0.278,0.714,0.222,0.222,0.836,1.26,1.25,0.85,0.9953210471999752,0.9957532928081511,0.984339053702888,0.99,1193,110,valid,valid,valid
Image4,bead4,0.278,0.271,0.693,0.222,0.222,0.836,1.25,1.22,0.83,0.9953397445464393,0.9972091701041413,0.9803039821214392,0.97,823,601,valid,valid,valid
Image4,bead5,0.277,0.276,0.669,0.222,0.222,0.836,1.25,1.24,0.8,0.9983899344849343,0.997954003450661,0.9842381539825164,1.0,333,40,valid,valid,valid
Image4,bead6,0.27,0.276,0.698,0.222,0.222,0.836,1.21,1.24,0.83,0.99624836726297,0.9940435297146977,0.9796913285638194,0.98,1206,661,valid,valid,valid
Image4,bead7,0.277,0.271,0.686,0.222,0.222,0.836,1.25,1.22,0.82,0.9951791313390452,0.9967806234867314,0.9854189057856764,0.98,178,243,valid,valid,valid
Image4,bead8,0.273,0.265,0.665,0.222,0.222,0.836,1.23,1.19,0.8,0.9961765668946395,0.9965224502049678,0.9773150572344614,0.97,405,810,valid,valid,valid
Image4,bead9,0.273,0.283,0.679,0.222,0.222,0.836,1.23,1.27,0.81,0.9983732678609204,0.9975953895441356,0.9861539637176665,0.97,225,53,valid,valid,valid
Image4,bead10,0.271,0.267,0.682,0.222,0.222,0.836,1.22,1.2,0.82,0.9971654539709017,0.998441289121112,0.984933672159069,0.99,1090,294,valid,valid,valid
Image4,bead11,0.273,0.274,0.704,0.222,0.222,0.836,1.23,1.23,0.84,0.9981753057461782,0.998062926914583,0.9813093147804229,0.99,836,1030,valid,valid,valid
Image4,bead12,0.264,0.261,0.658,0.222,0.222,0.836,1.19,1.18,0.79,0.9956367878903295,0.9940301220554882,0.9790428413601936,0.99,789,889,valid,valid,valid
Image4,bead13,0.275,0.274,0.669,0.222,0.222,0.836,1.24,1.23,0.8,0.9980227868846525,0.9977555331851637,0.9787898062001523,1.0,723,601,valid,valid,valid
Image4,bead14,0.275,0.272,0.666,0.222,0.222,0.836,1.24,1.23,0.8,0.9971113315838113,0.9958551387602582,0.9806945620456125,0.99,1124,699,valid,valid,valid
Image4,bead15,0.272,0.274,0.682,0.222,0.222,0.836,1.23,1.23,0.82,0.9979954398595093,0.997485271519708,0.9857812302522834,0.99,1220,55,valid,valid,valid
Image4,bead16,0.275,0.278,0.698,0.222,0.222,0.836,1.24,1.25,0.83,0.9985213025958246,0.9964293049054086,0.9793592122055357,0.99,155,817,valid,valid,valid
Image4,bead17,0.272,0.284,0.67,0.222,0.222,0.836,1.22,1.28,0.8,0.9969751735377472,0.9976529116605849,0.984020810847575,0.96,976,95,valid,valid,valid
Image4,bead18,0.276,0.264,0.69,0.222,0.222,0.836,1.24,1.19,0.83,0.9951244769614446,0.9964850474797534,0.9780633671588447,0.96,72,1159,valid,valid,valid
Image4,bead19,0.266,0.273,0.674,0.222,0.222,0.836,1.2,1.23,0.81,0.9962232760402568,0.9973083795812924,0.9756648500552106,0.97,642,481,valid,valid,valid
Image4,bead20,0.269,0.276,0.672,0.222,0.222,0.836,1.21,1.24,0.8,0.9956565591782716,0.9980376679296744,0.9846628560856857,0.98,1073,436,valid,valid,valid
Image4,bead21,0.273,0.278,0.657,0.222,0.222,0.836,1.23,1.25,0.79,0.9969985782902014,0.9973071311002505,0.9785390785569021,0.98,264,577,valid,valid,valid
Image4,bead22,0.271,0.276,0.701,0.222,0.222,0.836,1.22,1.24,0.84,0.9957018014362523,0.996716920812077,0.9811352514406315,0.98,1090,1039,valid,valid,valid
