,X,Y,Z
Average FWHM,0.23,0.229,0.493
Standard deviation FWHM,0.006,0.008,0.012
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.204,1.197,0.684
Standard deviation mes/theory FWHM ratio,0.034,0.04,0.016
Average lateral asymmetry ratio,0.97,0.97,0.97
Standard deviation lateral asymmetry ratio,0.019,0.019,0.019
