,X,Y,Z
Average FWHM,0.228,0.228,0.676
Standard deviation FWHM,0.001,0.004,0.004
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.195,1.188,0.94
Standard deviation mes/theory FWHM ratio,0.006,0.021,0.008
Average lateral asymmetry ratio,0.985,0.985,0.985
Standard deviation lateral asymmetry ratio,0.005,0.005,0.005
