,X,Y,Z
Average FWHM,0.23,0.232,0.551
Standard deviation FWHM,0.006,0.009,0.015
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.2,1.212,0.766
Standard deviation mes/theory FWHM ratio,0.031,0.047,0.02
Average lateral asymmetry ratio,0.97,0.97,0.97
Standard deviation lateral asymmetry ratio,0.025,0.025,0.025
