,X,Y,Z
Average FWHM,0.265,0.265,0.667
Standard deviation FWHM,0.009,0.01,0.019
Theoretical FWHM,0.213,0.213,0.802
Average mes/theory FWHM ratio,1.241,1.244,0.833
Standard deviation mes/theory FWHM ratio,0.041,0.045,0.023
Average lateral asymmetry ratio,0.972,0.972,0.972
Standard deviation lateral asymmetry ratio,0.024,0.024,0.024
