,X,Y,Z
Average FWHM,0.271,0.27,0.666
Standard deviation FWHM,0.027,0.031,0.027
Theoretical FWHM,0.213,0.213,0.802
Average mes/theory FWHM ratio,1.268,1.268,0.832
Standard deviation mes/theory FWHM ratio,0.126,0.145,0.034
Average lateral asymmetry ratio,0.935,0.935,0.935
Standard deviation lateral asymmetry ratio,0.081,0.081,0.081
