,X,Y,Z
Average FWHM,0.231,0.229,0.511
Standard deviation FWHM,0.004,0.007,0.016
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.211,1.196,0.711
Standard deviation mes/theory FWHM ratio,0.021,0.035,0.023
Average lateral asymmetry ratio,0.978,0.978,0.978
Standard deviation lateral asymmetry ratio,0.018,0.018,0.018
