,X,Y,Z
Average FWHM,0.266,0.269,0.694
Standard deviation FWHM,0.011,0.013,0.015
Theoretical FWHM,0.213,0.213,0.802
Average mes/theory FWHM ratio,1.25,1.261,0.866
Standard deviation mes/theory FWHM ratio,0.051,0.063,0.018
Average lateral asymmetry ratio,0.968,0.968,0.968
Standard deviation lateral asymmetry ratio,0.031,0.031,0.031
