,X,Y,Z
Average FWHM,0.266,0.265,0.66
Standard deviation FWHM,0.013,0.013,0.024
Theoretical FWHM,0.213,0.213,0.802
Average mes/theory FWHM ratio,1.25,1.246,0.823
Standard deviation mes/theory FWHM ratio,0.062,0.059,0.029
Average lateral asymmetry ratio,0.959,0.959,0.959
Standard deviation lateral asymmetry ratio,0.039,0.039,0.039
