,X,Y,Z
Average FWHM,0.233,0.233,0.572
Standard deviation FWHM,0.008,0.008,0.047
Theoretical FWHM,0.191,0.191,0.72
Average mes/theory FWHM ratio,1.218,1.22,0.795
Standard deviation mes/theory FWHM ratio,0.041,0.043,0.065
Average lateral asymmetry ratio,0.976,0.976,0.976
Standard deviation lateral asymmetry ratio,0.022,0.022,0.022
