Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
Image8,bead0,0.243,0.258,0.582,0.191,0.191,0.72,1.27,1.35,0.81,0.9989418829460376,0.9990743059035895,0.9907633026179782,0.94,643,538,valid,valid,valid
Image8,bead1,0.224,0.269,0.57,0.191,0.191,0.72,1.17,1.41,0.79,0.9990241307697758,0.9986200891741698,0.9920015728946413,0.83,692,357,valid,outlier (above upper fence of 0.26µm),valid
Image8,bead2,0.236,0.252,0.547,0.191,0.191,0.72,1.23,1.32,0.76,0.9994133889724826,0.9991152944091328,0.9931839341461901,0.94,1124,442,valid,valid,valid
Image8,bead3,0.232,0.255,0.565,0.191,0.191,0.72,1.21,1.34,0.78,0.9989147995173469,0.9978338015291777,0.993194634683087,0.91,1055,411,valid,valid,valid
Image8,bead4,0.234,0.232,0.573,0.191,0.191,0.72,1.22,1.21,0.8,0.9987626860003986,0.9988959481315766,0.994202470033058,0.99,978,297,valid,valid,valid
Image8,bead5,0.225,0.239,0.549,0.191,0.191,0.72,1.18,1.25,0.76,0.9992253890334323,0.9983981363059368,0.9920630514480968,0.94,586,461,valid,valid,valid
Image8,bead6,0.237,0.231,0.564,0.191,0.191,0.72,1.24,1.21,0.78,0.9991896765288205,0.9984303767011034,0.9927868383060986,0.97,1154,634,valid,valid,valid
Image8,bead7,0.229,0.231,0.553,0.191,0.191,0.72,1.2,1.21,0.77,0.9988586898961904,0.9978489202088503,0.9937113697351254,0.99,216,943,valid,valid,valid
Image8,bead8,0.228,0.233,0.556,0.191,0.191,0.72,1.19,1.22,0.77,0.9975864406975457,0.9988329775726218,0.9930971960481589,0.98,186,1078,valid,valid,valid
Image8,bead9,0.23,0.228,0.554,0.191,0.191,0.72,1.2,1.19,0.77,0.9986238897619024,0.997563274550203,0.9920396757712995,0.99,599,391,valid,valid,valid
Image8,bead10,0.224,0.229,0.546,0.191,0.191,0.72,1.17,1.2,0.76,0.9987123088963386,0.9976307633547475,0.9929025975140066,0.98,834,1189,valid,valid,valid
Image8,bead11,0.235,0.222,0.553,0.191,0.191,0.72,1.23,1.16,0.77,0.9964677291463677,0.9970681779706823,0.9935644483342716,0.95,256,373,valid,valid,valid
Image8,bead12,0.228,0.228,0.548,0.191,0.191,0.72,1.19,1.19,0.76,0.9976702135189308,0.999169185640724,0.9909358925283531,1.0,1174,1030,valid,valid,valid
Image8,bead13,0.229,0.225,0.544,0.191,0.191,0.72,1.2,1.18,0.76,0.9980255021099462,0.9982562396726714,0.9927481821001743,0.98,1237,857,valid,valid,valid
Image8,bead14,0.231,0.232,0.551,0.191,0.191,0.72,1.21,1.21,0.77,0.997404770464633,0.9964502464677386,0.9921851371271821,1.0,904,535,valid,valid,valid
Image8,bead15,0.231,0.233,0.545,0.191,0.191,0.72,1.21,1.22,0.76,0.9987448416566419,0.9980919277133629,0.9912701229182788,0.99,954,906,valid,valid,valid
Image8,bead16,0.242,0.227,0.536,0.191,0.191,0.72,1.26,1.19,0.75,0.9978106748944539,0.9956816925949274,0.9886246543080467,0.94,347,572,valid,valid,valid
Image8,bead17,0.221,0.24,0.577,0.191,0.191,0.72,1.15,1.26,0.8,0.9968041692768687,0.9973853077696803,0.984971973173376,0.92,1037,831,valid,valid,valid
Image8,bead18,0.231,0.222,0.553,0.191,0.191,0.72,1.21,1.16,0.77,0.9978867533094296,0.9978117295538195,0.9930820661122606,0.96,642,741,valid,valid,valid
Image8,bead19,0.231,0.226,0.532,0.191,0.191,0.72,1.21,1.18,0.74,0.9976238691421495,0.998093158299957,0.9851545124575065,0.98,921,1167,valid,valid,valid
Image8,bead20,0.229,0.23,0.554,0.191,0.191,0.72,1.2,1.2,0.77,0.9980122887778063,0.9979542897555767,0.993064013462884,1.0,406,768,valid,valid,valid
Image8,bead21,0.23,0.232,0.533,0.191,0.191,0.72,1.2,1.21,0.74,0.9968811256615578,0.9971360096848739,0.9936630302089663,0.99,1056,1054,valid,valid,valid
Image8,bead22,0.227,0.227,0.54,0.191,0.191,0.72,1.19,1.19,0.75,0.9991087221912093,0.9985413409979568,0.9915751439792919,1.0,255,601,valid,valid,valid
Image8,bead23,0.232,0.232,0.544,0.191,0.191,0.72,1.21,1.22,0.76,0.9989416455883371,0.9975582272447655,0.991290059730091,1.0,853,248,valid,valid,valid
Image8,bead24,0.221,0.238,0.562,0.191,0.191,0.72,1.16,1.24,0.78,0.9983993409271771,0.9968449940579351,0.9934446321317818,0.93,697,28,valid,valid,valid
Image8,bead25,0.224,0.228,0.544,0.191,0.191,0.72,1.17,1.19,0.76,0.9987737627470322,0.9980299402480324,0.9922592640123473,0.98,1015,995,valid,valid,valid
Image8,bead26,0.236,0.227,0.576,0.191,0.191,0.72,1.23,1.19,0.8,0.9983269071113916,0.9958141232186972,0.9938396630637846,0.96,239,92,valid,valid,valid
Image8,bead27,0.225,0.222,0.536,0.191,0.191,0.72,1.17,1.16,0.74,0.9967668487365222,0.9964418979157179,0.991981002477673,0.99,810,646,valid,valid,valid
Image8,bead28,0.228,0.235,0.548,0.191,0.191,0.72,1.19,1.23,0.76,0.9989370787716801,0.9984200681857273,0.99255160191512,0.97,70,312,valid,valid,valid
Image8,bead29,0.229,0.216,0.543,0.191,0.191,0.72,1.2,1.13,0.75,0.9969748069307448,0.9958788805381508,0.9913019330093126,0.94,234,1172,valid,valid,valid
Image8,bead30,0.239,0.227,0.578,0.191,0.191,0.72,1.25,1.19,0.8,0.996129966370588,0.9981870448557336,0.9781354777911831,0.95,732,121,valid,valid,valid
